 
um	n	k	   
0.338798	4.579398	1.85669	   ;
0.340659	4.600122	1.717516	   ;
0.342541	4.589498	1.590562	   ;
0.344444	4.557878	1.483034	   ;
0.346369	4.51519	1.396158	   ;
0.348315	4.468697	1.327622	   ;
0.350282	4.422786	1.273928	   ;
0.352273	4.379688	1.231666	   ;
0.354286	4.34024	1.198131	   ;
0.356322	4.304784	1.171259	   ;
0.358382	4.273101	1.14947	   ;
0.360465	4.244936	1.131922	   ;
0.362573	4.220047	1.118061	   ;
0.364706	4.198476	1.107662	   ;
0.366864	4.180878	1.100708	   ;
0.369048	4.168262	1.096632	   ;
0.371257	4.161602	1.094159	   ;
0.373494	4.161367	1.091123	   ;
0.375758	4.166618	1.085251	   ;
0.378049	4.17537	1.075281	   ;
0.380368	4.18547	1.061529	   ;
0.382716	4.196077	1.045315	   ;
0.385093	4.207892	1.027634	   ;
0.3875	4.222388	1.008052	   ;
0.389937	4.240217	0.984481	  ; 
0.392405	4.260142	0.954196	   ;
0.394904	4.279005	0.915443	   ;
0.397436	4.292724	0.868814	   ;
0.4	4.298246	0.817079	   ;
0.402597	4.294614	0.763923;	   
0.405229	4.2825	0.712893	  ; 
0.407895	4.264214	0.666315	 ;  
0.410596	4.242152	0.624961	  ; 
0.413333	4.218472	0.588528	   ;
0.416107	4.194202	0.55613	   ;
0.418919	4.17018	0.526991	   ;
0.421769	4.14652	0.500488	   ;
0.424658	4.123524	0.476128	   ;
0.427586	4.101244	0.45351	   ;
0.430556	4.079663	0.432208	   ;
0.433566	4.058766	0.411851	   ;
0.43662	4.038215	0.392363	   ;
0.439716	4.018218	0.373931	   ;
0.442857	3.999552	0.356587	   ;
0.446043	3.984107	0.337768	   ;
0.449275	3.966821	0.312109	   ;
0.452555	3.938867	0.287201	   ;
0.455882	3.908379	0.27223	   ;
0.459259	3.881984	0.261926	   ;
0.462687	3.858333	0.252827	   ;
0.466165	3.836237	0.244424	   ;
0.469697	3.815344	0.236606	   ;
0.473282	3.795452	0.229292	   ;
0.476923	3.776328	0.22243	   ;
0.48062	3.757979	0.215983	   ;
0.484375	3.740246	0.209912	   ;
0.488189	3.723217	0.204187	   ;
0.492063	3.706731	0.198786	   ;
0.496	3.69074	0.193679	   ;
0.5	3.675215	0.188846	   ;
0.504065	3.660242	0.184252;	   
0.508197	3.64569	0.179894	 ;  
0.512397	3.631663	0.175733	 ;  
0.516667	3.617977	0.171768	  ; 
0.521008	3.604631	0.167988	   ;
0.525424	3.59182	0.164366	   ;
0.529915	3.579182	0.1609	   ;
0.534483	3.56703	0.157586	   ;
0.53913	3.555107	0.154402	   ;
0.54386	3.543533	0.151367	   ;
0.548673	3.532277	0.148493	   ;
0.553571	3.52134	0.14577	   ;
0.558559	3.51067	0.14317	   ;
0.563636	3.500323	0.140668	  ; 
0.568807	3.490332	0.13825	   ;
0.574074	3.480579	0.135915	   ;
0.579439	3.471097	0.133651	   ;
0.584906	3.461944	0.131448	   ;
0.590476	3.452976	0.129314	   ;
0.596154	3.444283	0.127227	   ;
0.601942	3.435834	0.125188	   ;
0.607843	3.427662	0.123191	   ;
0.613861	3.419679	0.121233	   ;
0.62	3.411977	0.119308	   ;
0.626263	3.404465	0.117411	;   
0.632653	3.397146	0.115536	 ;  
0.639175	3.390019	0.11368	   ;
0.645833	3.383085	0.111836	   ;
0.652632	3.376379	0.11001	   ;
0.659574	3.369835	0.108187	   ;
0.666667	3.363577	0.106366	   ;
0.673913	3.357368	0.104553	   ;
0.681319	3.351448	0.102738	   ;
0.688889	3.345726	0.10091	   ;
0.696629	3.340053	0.099078	   ;
0.704545	3.334672	0.097233	   ;
0.712644	3.329456	0.095361	   ;
0.72093	3.324382	0.093463	   ;
0.729412	3.319452	0.091546	   ;
0.738095	3.314781	0.089585	   ;
0.746988	3.310312	0.087584	   ;
0.756098	3.305894	0	   ;
0.765432	3.301795	0	   ;
0.775	3.297842	0	   ;
0.78481	3.294208	0	  ; 
0.794872	3.2908	0	   ;
0.805195	3.287823	0	  ; 
0.815789	3.285387	0	   ;
0.826667	3.283362	0	   ;
0.837838	3.281411	0	   ;
0.849315	3.279016	0	   ;
0.861111	3.275568	0	   ;
0.873239	3.270835	0	   ;
0.885714	3.265569	0	   ;
0.898551	3.260986	0	   ;
0.911765	3.259957	0	   ;
0.925373	3.260509	0	   ;
0.939394	3.246144	0	   ;
0.953846	3.229831	0	   ;
0.96875	3.218564	0	   ;
0.984127	3.209319	0	   ;
1	3.201176	0	   ;
1.016393	3.193828	0	;   
1.033333	3.186989	0	 ;  
1.050847	3.180615	0;	   
1.068966	3.174629	0	;   
1.087719	3.168922	0	  ; 
1.107143	3.163496	0	   ;
1.127273	3.158281	0	   ;
1.148148	3.153351	0	   ;
1.169811	3.148585	0	   ;
1.192308	3.143972	0	   ;
1.215686	3.139514	0	   ;
1.24	3.135284	0	   ;
1.265306	3.131139	0	;   
1.291667	3.127171	0	 ;  
1.319149	3.123352	0	  ; 
1.347826	3.119629	0	   ;
1.377778	3.116065	0	   ;
1.409091	3.112609	0	   ;
1.44186	3.109241	0	   ;
1.47619	3.10597	0	   ;
1.512195	3.102862	0	  ; 
1.55	3.099789	0	   ;
1.589744	3.096872	0	;   
1.631579	3.094032	0	 ;  
1.675676	3.091286	0	  ; 
1.722222	3.08864	0	   ;
1.771429	3.086079	0	   ;
1.823529	3.083612	0	   ;
1.878788	3.081233	0	   ;
1.9375	3.078932	0	   ;
2	3.076717	0	   ;
2.066667	3.074584	0	 ;  
2.137931	3.072531	0	  ; 
2.214286	3.07055	0	;   
2.296296	3.068642	0	;   
2.384615	3.066825	0	 ;  
2.48	3.065074	0	   ;
2.583333	3.063406	0	;   
2.695652	3.061806	0	 ;  
2.818182	3.060297	0	  ; 
2.952381	3.058848	0	   ;
3.1	3.057473	0	   ;
3.263158	3.056176	0;	   
3.444444	3.054947	0	;   
3.647059	3.053786	0	 ;  
3.875	3.052692	0	   ;
4.133333	3.051667	0	 ;  
4.428571	3.05072	0	   ;
4.769231	3.049825	0	   ;
5.166667	3.049015	0	   ;
5.636364	3.04826	0	   ;
6.2	3.04757	0	 ;
10	3.04757	0	 ;
